Name,Email,Number,AddressLine1,AddressLine2,DOB,Sex,HasInsurance,Insurance,Password,Country,State,City,ZipCode
John Doe,john.doe@example.com,5551234567,"123 Main St","Apt 4B","1985-03-15","Male",true,"Blue Cross","SecurePass123!","US","CA","San Francisco","94105"
Jane Smith,jane.smith@example.com,5559876543,"456 Oak Avenue","","1990-07-22","Female",true,"Aetna","SafeWord456@","US","NY","New York","10001"
Michael Johnson,michael.j@example.com,5552223333,"789 Elm Street","Unit 2C","1978-11-05","Male",true,"Cigna","StrongPass789#","US","TX","Houston","77001"
Emily Brown,emily.brown@example.com,5554445555,"210 Pine Road","Suite 3C","1995-02-14","Female",true,"UnitedHealthcare","ComplexPass246%","US","IL","Chicago","60601"
David Wilson,david.wilson@example.com,5556667777,"345 Maple Drive","","1982-09-30","Male",true,"Humana","SecureLife987*","US","FL","Miami","33101"
Sarah Garcia,sarah.garcia@example.com,5558889999,"567 Cedar Lane","Apt 12","1988-06-18","Female",true,"Kaiser Permanente","HealthyPass555&","US","CA","Los Angeles","90001"
Robert Lee,robert.lee@example.com,5551112222,"890 Birch Street","","1975-12-10","Male",true,"Anthem","Secure2023!@#","US","WA","Seattle","98101"
Amanda Martinez,amanda.m@example.com,5553334444,"123 Spruce Boulevard","","1993-04-25","Female",true,"Blue Shield","MedicalPass777$","US","AZ","Phoenix","85001"
Thomas Anderson,thomas.a@example.com,5555556666,"456 Redwood Court","","1980-08-12","Male",true,"Wellcare","HealthCare2022%","US","GA","Atlanta","30301"
Lisa Wong,lisa.wong@example.com,5557778888,"789 Sequoia Street","Apt 7A","1992-01-07","Female",false,"","1","US","CA","San Diego","92101”
Mary Wong,mary.wong@example.com,5557778228,"789 Sequoia Street","Apt 7A","1992-01-07","Female",false,"","1","US","CA","San Diego","92101”
